id(url),Platform,title,provider,reviewer_id,single_rating_value,review_date,reviewer_url
328,CourseTalk,"""Pay Attention!!"" ADHD Through the Lifespan",Coursera,Jeff Winchell,3.5,2015-01-27,/accounts/profile/jeffwinchell1
328,CourseTalk,"""Pay Attention!!"" ADHD Through the Lifespan",Coursera,Esther,4,2013-12-09,/accounts/profile/esther
328,CourseTalk,"""Pay Attention!!"" ADHD Through the Lifespan",Coursera,Guy Munte,4.5,2013-08-31,/accounts/profile/guymunte
328,CourseTalk,"""Pay Attention!!"" ADHD Through the Lifespan",Coursera,Ricardo Teixeira,3.5,2013-06-03,/accounts/profile/ricardoteixeira
https://www.class-central.com/mooc/2939/coursera-a-programar-una-introduccion-a-la-programacion,ClassCentral,¢®A Programar! Una introducci?n a la programaci?n,Coursera,Jorge Silva Granados,5,2016-01-06,https://www.class-central.com/u/84915
https://www.class-central.com/mooc/1032/coursera-21st-century-american-foreign-policy,ClassCentral,21st Century American Foreign Policy,Coursera,John Hunt,3,2014-02-24,null
https://www.class-central.com/mooc/1032/coursera-21st-century-american-foreign-policy,ClassCentral,21st Century American Foreign Policy,Coursera,Anonymous,5,2013-12-04,null
https://www.class-central.com/mooc/1032/coursera-21st-century-american-foreign-policy,ClassCentral,21st Century American Foreign Policy,Coursera,Brennan Mccloney,4,2015-09-24,https://www.class-central.com/u/86183
3361,CourseTalk,21st Century American Foreign Policy,Coursera,Winthrop Yu,4,2013-11-02,/accounts/profile/winthropyu
3361,CourseTalk,21st Century American Foreign Policy,Coursera,sam tan,4,2013-12-10,/accounts/profile/samt
3361,CourseTalk,21st Century American Foreign Policy,Coursera,Student,2,2013-12-09,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2015-03-03,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Ramnath R,5,2015-01-16,https://www.class-central.com/u/43866
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-05-06,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-05-05,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2013-05-19,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Olena Bosenok,5,2013-10-28,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Adelyne Chan,5,2014-07-20,https://www.class-central.com/@adelyne
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-05-08,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-04-28,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-04-30,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,B Mohan Kumar,5,2014-04-29,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Bart,3,2014-05-01,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-04-29,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,4,2014-04-30,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,4,2014-05-19,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,4,2014-05-05,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-06-06,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,3,2014-04-28,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Anonymous,5,2014-07-16,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,David Andrusko,5,2014-05-09,null
https://www.class-central.com/mooc/424/coursera-a-beginner-s-guide-to-irrational-behavior,ClassCentral,A Beginner's Guide to Irrational Behavior,Coursera,Stephanie Suzanne Duplin,4,2014-07-21,null
